"Time","University of Notre Dame","Massachusetts Institute of Technology","Clemson University"
"2004-01-01",18,32,11
"2004-02-01",18,32,10
"2004-03-01",18,33,9
"2004-04-01",17,33,9
"2004-05-01",15,33,8
"2004-06-01",14,27,8
"2004-07-01",16,27,8
"2004-08-01",22,28,11
"2004-09-01",43,34,16
"2004-10-01",27,30,13
"2004-11-01",29,28,17
"2004-12-01",38,39,10
"2005-01-01",19,27,9
"2005-02-01",20,28,10
"2005-03-01",18,28,10
"2005-04-01",18,25,10
"2005-05-01",16,26,9
"2005-06-01",15,23,10
"2005-07-01",16,22,9
"2005-08-01",22,22,12
"2005-09-01",52,31,17
"2005-10-01",58,31,13
"2005-11-01",45,30,15
"2005-12-01",35,26,12
"2006-01-01",32,26,10
"2006-02-01",19,28,10
"2006-03-01",18,26,11
"2006-04-01",20,27,10
"2006-05-01",21,24,12
"2006-06-01",18,19,14
"2006-07-01",23,20,10
"2006-08-01",37,24,12
"2006-09-01",68,28,18
"2006-10-01",42,26,18
"2006-11-01",48,26,14
"2006-12-01",33,22,11
"2007-01-01",30,25,11
"2007-02-01",21,28,11
"2007-03-01",21,26,11
"2007-04-01",20,28,10
"2007-05-01",17,24,8
"2007-06-01",15,22,9
"2007-07-01",18,20,8
"2007-08-01",29,22,12
"2007-09-01",47,28,21
"2007-10-01",34,27,15
"2007-11-01",30,25,17
"2007-12-01",18,25,11
"2008-01-01",18,25,13
"2008-02-01",18,26,12
"2008-03-01",16,27,14
"2008-04-01",18,26,10
"2008-05-01",14,23,8
"2008-06-01",11,20,8
"2008-07-01",14,20,9
"2008-08-01",22,25,17
"2008-09-01",37,26,17
"2008-10-01",27,25,17
"2008-11-01",29,23,14
"2008-12-01",21,23,12
"2009-01-01",16,22,13
"2009-02-01",17,25,12
"2009-03-01",20,24,11
"2009-04-01",19,24,10
"2009-05-01",24,22,8
"2009-06-01",12,21,8
"2009-07-01",14,20,7
"2009-08-01",20,21,12
"2009-09-01",39,28,18
"2009-10-01",34,28,15
"2009-11-01",37,27,18
"2009-12-01",29,26,12
"2010-01-01",17,24,11
"2010-02-01",16,27,11
"2010-03-01",16,28,11
"2010-04-01",17,27,11
"2010-05-01",13,25,7
"2010-06-01",12,22,12
"2010-07-01",13,20,8
"2010-08-01",20,23,11
"2010-09-01",42,28,18
"2010-10-01",34,27,14
"2010-11-01",30,25,14
"2010-12-01",21,23,9
"2011-01-01",20,20,11
"2011-02-01",18,23,11
"2011-03-01",22,21,12
"2011-04-01",18,21,9
"2011-05-01",13,20,8
"2011-06-01",13,17,9
"2011-07-01",14,16,8
"2011-08-01",22,18,13
"2011-09-01",47,23,23
"2011-10-01",38,21,26
"2011-11-01",34,19,18
"2011-12-01",23,20,14
"2012-01-01",19,20,17
"2012-02-01",16,22,11
"2012-03-01",16,19,9
"2012-04-01",18,19,10
"2012-05-01",14,20,9
"2012-06-01",11,16,9
"2012-07-01",13,15,8
"2012-08-01",25,18,13
"2012-09-01",50,22,23
"2012-10-01",54,21,15
"2012-11-01",73,19,19
"2012-12-01",35,17,10
"2013-01-01",59,18,14
"2013-02-01",19,22,11
"2013-03-01",19,18,10
"2013-04-01",16,39,10
"2013-05-01",16,18,8
"2013-06-01",11,14,8
"2013-07-01",12,15,9
"2013-08-01",24,16,17
"2013-09-01",41,20,29
"2013-10-01",36,19,26
"2013-11-01",28,18,19
"2013-12-01",24,18,13
"2014-01-01",17,17,19
"2014-02-01",15,19,10
"2014-03-01",14,18,11
"2014-04-01",16,19,11
"2014-05-01",13,17,9
"2014-06-01",10,14,7
"2014-07-01",13,14,8
"2014-08-01",26,15,17
"2014-09-01",43,20,26
"2014-10-01",50,19,20
"2014-11-01",40,19,20
"2014-12-01",21,18,14
"2015-01-01",18,17,11
"2015-02-01",16,18,10
"2015-03-01",35,19,10
"2015-04-01",16,18,10
"2015-05-01",14,18,8
"2015-06-01",11,16,7
"2015-07-01",12,14,8
"2015-08-01",20,15,14
"2015-09-01",55,22,25
"2015-10-01",45,20,35
"2015-11-01",55,18,42
"2015-12-01",21,18,40
"2016-01-01",23,15,62
"2016-02-01",18,17,14
"2016-03-01",32,17,12
"2016-04-01",16,16,13
"2016-05-01",13,16,11
"2016-06-01",11,13,11
"2016-07-01",13,12,10
"2016-08-01",21,14,15
"2016-09-01",62,18,39
